Overall Jokl Rank,Athletics,Cycling,Gymnastics,Shooting,Swimming,Coastline (Km) (2018),Temperature (1901-2016 [C]),GDP (US Billion Dollar),Elevation (Feet),Status of Women,Democracy Index,Population
3592.91,1444.87,255.14,573.98,330.12,988.81,19924,7,21428,611.53,0.85,7.96,331002651
2202.1,729.75,413.69,503.35,119.66,435.66,12429,8.5,2827,526.59,0.88,8.52,67886011
1906.08,222.45,11.54,479.91,687.05,505.14,14500,6.39,14343,6005.63,0.73,2.26,1439323776
1828.25,288.53,413.02,205.08,484.06,437.56,7600,11.86,2001,1754.73,0.83,7.52,60461826
1506.77,549.62,190.79,318.79,3.87,443.69,202080,-6.89,1736,1519.09,0.88,9.22,37742154
1477.99,,110.72,457.24,564.32,345.72,37653,-6.24,1700,1223.61,0.77,3.11,145934462
1361.39,352.14,82.66,493.46,111.78,321.35,29751,10.46,5082,1271.44,0.82,7.99,126476461
1344.13,254.3,161.07,175.97,426.6,326.19,2389,8.61,3846,862.81,0.86,8.68,83783942
1234.04,137.78,362.26,103.77,199.13,431.1,3427,10.72,2716,2008.61,0.85,8.12,65273511
1136.14,525.31,87.89,134.14,308.5,80.29,2782,8.27,154,585.05,0.69,5.9,43733762
1112.91,232.54,294.28,121.04,,465.05,451,9.58,909,31.66,0.88,9.01,17134872
1091.32,199.1,100.89,308.15,137.96,345.23,7491,24.96,1840,1056.09,0.7,6.86,212559417
1019.24,321.01,177.23,12.07,,261.18,25957,21.48,1393,909.2,0.84,9.09,25499884
760.36,312.37,249.59,13.12,40.68,144.6,440,7.97,592,562.19,0.84,6.62,37846611
706.76,160.96,288.27,76.93,34.15,146.45,66.5,9.79,530,510.89,0.83,7.64,11589623
683.81,673.03,,10.78,,,1022,24.91,15.72,1060.49,0.79,6.96,2961167
652.53,174.3,225.23,54.92,138.28,59.79,4964,13.02,1394,2247.64,0.86,8.29,46754778
649.21,338.2,139.81,17.54,,153.65,2798,17.54,351,3393.64,0.74,7.24,59308690
647.6,644.03,,,,3.57,0,22.61,96.11,4121.72,0.65,3.44,114963588
647.26,145.26,113.17,235.07,118.6,35.16,0,5.87,703,4290.85,0.89,9.03,8654622
628.91,13.58,236.48,,322.53,56.32,0,10.35,51.41,1344.77,0.84,6.41,8737371
579.1,579.1,,,,,536,24.29,95.5,2586.3,0.7,5.18,53771296
567.62,123.61,66.74,182.8,59.61,134.86,0,6.46,63.08,525.38,0.8,2.48,9449323
557.58,58.18,16.02,16,203.03,264.36,0,10.08,161,482.02,0.77,6.63,9660351
540.42,70.68,141.16,,36.45,292.13,7314,7.92,348,101.54,0.89,9.22,5792202
493.87,101.74,184.69,0.66,184.33,22.45,0,7.88,246,1480.72,0.82,7.69,10708981
454,71.79,19.2,53.82,250.35,58.84,2413,10.66,1642,843.72,0.82,8,51269185
451.51,157.61,,142.42,151.48,,2495,5.4,28.5,1925.4,,1.08,25778816
441.26,428.79,,,,12.47,161,27.04,38.57,43.61,0.72,2.55,1701575
429.63,118.94,,54.94,255.74,,7000,24.14,2875,1883.55,0.63,6.9,1380004385
403.71,84.12,30.76,10.34,345.65,16.97,5835,10.55,60.42,1012.91,0.82,6.57,4105267
392.42,290.99,,,,101.42,3542,24.73,12.83,19.57,,,393244
375.15,102.13,57.19,13.74,159.15,42.94,83281,1.02,403,1729.64,0.9,9.87,5421241
349.52,42.33,15.07,,70.97,221.16,13676,13.92,210,1575.33,0.77,7.43,10423054
